Topografia,Pendiente2,Aspecto,Perfil de Curvatura,Plano de Curvatura,Deslizamientos,Tmax,Tmin,Viento,Humedad,Solar,Precip30
1481.680054,30.0748005,292.1499939,0.0001004,-0.0120047,1,27.6982002,20.6130009,1.0070601,0.92112,17.8498993,408.7770081
1498.099976,42.6945,278.1170044,-7.13E-05,-0.020597,1,27.6977005,20.6124001,1.0071501,0.921112,17.8514004,408.7349854
1522.849976,45.7122993,276.4660034,-1.67E-05,-0.0429593,1,27.6973,20.6119003,1.00723,0.921104,17.8528004,408.6929932
1539.089966,40.2113991,275.1799927,6.41E-05,-0.0227844,1,27.6968994,20.6114006,1.00732,0.921097,17.8542004,408.6520081
1493.949951,17.3292007,68.4384003,-0.0006712,-0.0164822,1,27.6993008,20.6140003,1.00688,0.921131,17.8472996,408.894989
1487.969971,20.9582005,38.7696991,3E-07,-0.0028244,1,27.6989002,20.6135006,1.00697,0.921124,17.8486996,408.8529968
1486.01001,22.2605,347.9400024,-5E-07,-0.0026643,1,27.6984997,20.6128998,1.0070601,0.921116,17.8500996,408.8110046
1493.280029,25.1096992,309.3389893,0.0001539,-0.0127784,1,27.698,20.6124001,1.00714,0.921108,17.8516006,408.7690125
1499.339966,39.4878006,277.9490051,0.0006466,-0.01975,1,27.6975994,20.6119003,1.00723,0.9211,17.8530006,408.7279968
1523.819946,45.4701996,271.6319885,0.0002766,-0.042931,1,27.6972008,20.6112995,1.00732,0.921092,17.8544006,408.6860046
1540.02002,38.6321983,271.6119995,0.000112,-0.0226724,1,27.6968002,20.6107998,1.0074,0.921084,17.8558006,408.644989
1555.619995,58.4799004,270.57901,0.0010432,-0.0247145,1,27.6963997,20.6103001,1.00749,0.921076,17.8572006,408.6029968
1495.48999,11.2616997,62.1497993,-0.0003283,-0.0137586,1,27.6991997,20.6133995,1.00697,0.921119,17.8488998,408.8880005
1493.969971,10.717,34.3423996,-7E-07,-0.0030034,1,27.6987991,20.6128998,1.00705,0.921111,17.8502998,408.8460083
1492.400024,9.2555304,341.3160095,-3E-07,-0.0026718,1,27.6982994,20.6124001,1.00714,0.921103,17.8518009,408.8039856
1495.469971,12.6341,289.1570129,-0.0003406,-0.0132049,1,27.6979008,20.6117992,1.00723,0.921095,17.8532009,408.7619934
1499.839966,35.9118996,271.105011,-0.0001203,-0.0197558,1,27.6975002,20.6112995,1.00731,0.921088,17.8546009,408.7200012
1523.800049,45.2658005,270.0090027,0.0003585,-0.0427059,1,27.6970997,20.6107006,1.0074,0.92108,17.8560009,408.6789856
1540.069946,38.6581001,270.0620117,0.0013327,-0.0214688,1,27.6966991,20.6102009,1.00749,0.921072,17.8574009,408.6369934
1555.780029,58.4341011,270.1789856,0.0021452,-0.0247679,1,27.6961994,20.6096992,1.00757,0.921064,17.8588009,408.5960083
1494.979981,4.65488,54.3221016,-0.0003592,-0.003458,1,27.6986008,20.6123009,1.00714,0.921099,17.8519001,408.8380127
1494,3.5123799,340.8210144,-2E-07,-0.0030198,1,27.6982002,20.6117992,1.00722,0.921091,17.8533993,408.79599
1495,8.8849897,286.6480103,-0.000139,-0.0130562,1,27.6977997,20.6112003,1.00731,0.921083,17.8547993,408.7550049
1499.680054,35.1292,271.7590027,0.0002554,-0.0194907,1,27.6973991,20.6107006,1.0074,0.921075,17.8561993,408.7130127
1523.650024,45.0327988,270.3649902,0.0014297,-0.0419992,1,27.6970005,20.6102009,1.00749,0.921067,17.8575993,408.67099
1540.040039,38.7402,269.9880066,0.0032808,-0.0204689,1,27.6965008,20.6096001,1.00757,0.92106,17.8589993,408.6300049
1496.959961,12.3880997,301.8389893,-4.92E-05,-0.0123928,1,27.6977005,20.6105995,1.00739,0.921071,17.8563995,408.7470093
